blind_id,candidate_id,original_layer,citation,first_reviewer_source_label,first_reviewer_report_access,first_reviewer_decision,first_reviewer_reason
R112,E70,EXCLUDE,"HUGONNET R, MCNABB R, BERTHIER E, et al. Accelerated global glacier mass loss in the early twenty-first century[J]. Nature, 2021, 592(7856): 726-731. DOI: 10.1038/s41586-021-03436-z.","HUGONNET R, MCNABB R, BERTHIER E, et al",ABSTRACT/PREVIEW,EXCLUDE-OTHER,Large-scale glacier application; no additional transferable mechanism beyond the retained co-registration and uncertainty studies.
R113,E35,CORE,"RAEVA P L, FILIPOVA S L, FILIPOV D G. Volume computation of a stockpile – a study case comparing GPS and UAV measurements in an open pit quarry[C]//Int Arch Photogramm Remote Sens Spatial Inf Sci, 2016, XLI-B1: 999-1004. DOI: 10.5194/isprs-archives-XLI-B1-999-2016.",Raeva 2016,FT,DIRECT-EMPIRICAL,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R114,E417,CORE,Justin Mahlberg; Raja Manish; Yerassyl Koshan; Mina Joseph; Jidong Liu; Haydn Malackowski; Zechariah DeLoach; Timothy Wells; Jeremy McGuffey; Ayman Habib; Darcy M. Bullock. Salt Monitoring and Reporting Technology (SMART) for Salt Stockpile Inventory Reporting. [Venue unavailable]. 2023. https://doi.org/10.5703/1288284317650,Justin Mahlberg; Raja Manish; Yerassyl Koshan; Mina Joseph; Jidong Liu; Haydn Malackowski; Zechariah DeLoach; Timothy Wells; Jeremy McGuffey; Ayman Habib; Darcy M,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R115,E279,EXCLUDE,Örkény Zováthi; Balázs Nagy; Csaba Benedek. Exploitation of Dense MLS City Maps for 3D Object Detection. Lecture notes in computer science. 2020. https://doi.org/10.1007/978-3-030-50347-5_34,Örkény Zováthi; Balázs Nagy; Csaba Benedek,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R116,E182,EXCLUDE,Bong-Chan Kim; Seulki Lee; Kwang‐Jae Lee; Seung‐Jae Lee; Sung-Ho Chae; Chang-Wook Lee. An Analysis of Surface Changes due to Volcanic Eruptions Using Coherence Change Detection – A Case Study of the May 2024 Volcanic Eruption in Iceland. 대한원격탐사학회지. 2024. https://doi.org/10.7780/kjrs.2024.40.6.3.7,Bong-Chan Kim; Seulki Lee; Kwang‐Jae Lee; Seung‐Jae Lee; Sung-Ho Chae; Chang-Wook Lee,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R117,E336,EXCLUDE,Pu Liu; Lieshan Zhang; Meibao Wang. Measurement of Large-Sized-Pipe Diameter Based on Stereo Vision. Applied Sciences. 2022. https://doi.org/10.3390/app12105277,Pu Liu; Lieshan Zhang; Meibao Wang,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R118,E274,TRANSFER,Robert Paquet. ESTIMATION OF INTERPOLATION ERROR IN DEMS USING STATISTICAL METHODS. [Venue unavailable]. 2010.,Robert Paquet,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Adjacent acquisition, calibration, localization or change evidence relevant to the target measurement chain."
R119,E373,CORE,Edward J. Jaselskis; E T Cackler; S J Andrle; Ziyou Gao. PILOT STUDY ON IMPROVING THE EFFICIENCY OF TRANSPORTATION PROJECTS USING LASER SCANNING. [Venue unavailable]. 2003.,Edward J,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R120,E109,CORE,"CHATHURANGA M, DARWIN N B, AHMAD A B, SANDAMALI J. iPhone LiDAR-based volume estimation of regular and irregular shaped stockpiles[C]. *ISPRS Archives*, 2026, XLVIII-M-10-2025: 91–98. DOI: 10.5194/isprs-archives-XLVIII-M-10-2025-91-2026.",Chathuranga iPhone 2026,FT,DIRECT-EMPIRICAL,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R121,E411,CORE,Xingbo Hu; Leidong Yang; Fangming Wu; Yinghong Tian. Robust Markerless Registration of Point Clouds for Terrestrial Laser Scanning-Based Measurement of Bulk Grains Stockpiled in Storehouses. Applied Engineering in Agriculture. 2021. https://doi.org/10.13031/aea.14709,Xingbo Hu; Leidong Yang; Fangming Wu; Yinghong Tian,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R122,E459,EXCLUDE,Yang Xu; Yunhua Li; Yu Yao; Tao Qin; Liman Yang; Zhexuan Sheng. Truck loading state estimation for autonomous operation of mining excavator. International Journal of Intelligent Robotics and Applications. 2025. https://doi.org/10.1007/s41315-024-00414-2,Yang Xu; Yunhua Li; Yu Yao; Tao Qin; Liman Yang; Zhexuan Sheng,ABSTRACT/PREVIEW,EXCLUDE-OTHER,No stockpile-volume endpoint and no indispensable mobile/robotic measurement-chain contribution.
R123,E177,TRANSFER,Yong Feng; K. L. Leung; Yingkui Li; Kwai Lam Wong. An AI-Based Workflow for Fast Registration of UAV-Produced 3D Point Clouds. Remote Sensing. 2023. https://doi.org/10.3390/rs15215163,Yong Feng; K,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
R124,E94,TRANSFER,"HUTTER M, GEHRING C, JUD D, et al. ANYmal—Toward legged robots for harsh environments[J]. *Advanced Robotics*, 2017, 31: 918–931. DOI: 10.1080/01691864.2017.1378591.",Source material supplied in the blinded screening form.,FT,TRANSFER-METHOD,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R125,E337,CORE,M. Kunytska; V. Levytskyi; A. Kryvoruchko; S. Kalchuk; S. Iskov. Measurement of the volumes of crushed stonewarehousesbased on photogrammetric methods. Collection of Research Papers of the National Mining University. 2026. https://doi.org/10.33271/crpnmu/84.097,M,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R126,E115,CORE,"YILMAZ H M. Close range photogrammetry in volume computing[J]. *Experimental Techniques*, 2010, 34(1): 48–54. DOI: 10.1111/j.1747-1567.2009.00476.x.",Yilmaz 2010,ABSTRACT/PREVIEW,MOVE-SUPPORT,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R127,E456,EXCLUDE,Konstantinos Zampogiannis; Cornelia Fermüller; Yiannis Aloimonos. Topology-Aware Non-Rigid Point Cloud Registration. IEEE Transactions on Pattern Analysis and Machine Intelligence. 2019. https://doi.org/10.1109/tpami.2019.2940655,Konstantinos Zampogiannis; Cornelia Fermüller; Yiannis Aloimonos,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R128,E341,EXCLUDE,Yunhao Cui; Yi An; Wei Sun; Huosheng Hu; Xueguan Song. Memory-Augmented Point Cloud Registration Network for Bucket Pose Estimation of the Intelligent Mining Excavator. IEEE Transactions on Instrumentation and Measurement. 2022. https://doi.org/10.1109/tim.2022.3149331,Yunhao Cui; Yi An; Wei Sun; Huosheng Hu; Xueguan Song,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R129,E18,SUPPORT,"BIBER P, STRASSER W. The normal distributions transform: a new approach to laser scan matching[C]//Proc 2003 IEEE/RSJ Int Conf on Intelligent Robots and Systems (IROS). 2003, 3: 2743-2748. DOI: 10.1109/IROS.2003.1249285.","BIBER P, STRASSER W",ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,"Foundational method, standard, metrology guide, or review-reporting source; retained outside the validation-study count."
R130,E420,EXCLUDE,Pengyu Yin. Scene tokenization for unified perception in autonomous driving. [Venue unavailable]. 2026. https://doi.org/10.32657/10356/214735,Pengyu Yin,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R131,E259,TRANSFER,Haoxuan Jiang; Peicong Qian; Yusen Xie; Xiaocong Li; Ming Liu; Jun Ma. DuLoc: Life-Long Dual-Layer Localization in Changing and Dynamic Expansive Scenarios. [Venue unavailable]. 2025. https://doi.org/10.1109/iros60139.2025.11246422,Haoxuan Jiang; Peicong Qian; Yusen Xie; Xiaocong Li; Ming Liu; Jun Ma,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
R132,E261,EXCLUDE,Yinye Ding; Wenhao Chen; Zeyu Yang; Rencheng Song; Jin Zhang; Weishi Li; Haojie Xia. Dynamic uncertainty evaluation of axial displacement of optical scanning coordinate measuring machine based on neural network. Measurement Science and Technology. 2026. https://doi.org/10.1088/1361-6501/ae9977,Yinye Ding; Wenhao Chen; Zeyu Yang; Rencheng Song; Jin Zhang; Weishi Li; Haojie Xia,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R133,E188,EXCLUDE,S. Seydi; M. Hasanlou. A new land-cover match-based change detection for hyperspectral imagery. [Venue unavailable]. 2017. https://doi.org/10.1080/22797254.2017.1367963,S,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R134,E345,EXCLUDE,Abdelazim M. Negm; Mohamed Elsahabi; Reham El-Sayed; Neama Abd El-Basset; Shenouda Ghaly; Kamal A. Ali. Morphological Variation of the Nile River First and Second Reaches Using RS/GIS Techniques. The handbook of environmental chemistry. 2016. https://doi.org/10.1007/698_2016_126,Abdelazim M,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R135,E437,CORE,Muhammad Fathurrahman; La Ode Muh. Golok Jaya; Fitra Saleh; Fitrani Amin; Al Amin Siharis. Studi Penentuan Volume Stockpile Penambangan Bijih Nikel Menggunakan Foto Drone. JAGAT (Jurnal Geografi Aplikasi dan Teknologi). 2024. https://doi.org/10.33772/jagat.v7i2.44232,Muhammad Fathurrahman; La Ode Muh,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R136,E73,SUPPORT,JCGM. Evaluation of measurement data—Guide to the expression of uncertainty in measurement: JCGM 100:2008[S]. DOI: 10.59161/JCGM100-2008E.,JCGM,ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,"Foundational method, standard, metrology guide, or review-reporting source; retained outside the validation-study count."
R137,E278,EXCLUDE,J. Anochie-Boateng; N. Makulenga; A. Maharaj; J. Komba. Evaluation of 3D laser device for characterizing shape and surface properties of aggregates used in pavements. [Venue unavailable]. 2010.,J,ABSTRACT/PREVIEW,EXCLUDE-OTHER,No stockpile-volume endpoint and no indispensable mobile/robotic measurement-chain contribution.
R138,E371,CORE,Rachmadhiya Salsabila; M.T. Ir. Untung Rahadjo; S.T. Ruli Andaru. PERBANDINGAN PERHITUNGAN VOLUME STOCKPILE BATU BARA MENGGUNAKAN DATA TERRESTRIAL LASER SCANNER (TLS) DAN DATA FOTO UDARA UNMANNED AERIAL VEHICLE (UAV). [Venue unavailable]. 2017.,Rachmadhiya Salsabila; M,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R139,E252,EXCLUDE,Yufang He; Lifeng Niu; Guangzong Zhang; Jiaye Li; Tong Liu; Jian Liu; Bo Chen. Detailed Health Monitoring of Large-Scale Urban Infrastructure by Combining Optical and SAR Images. IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing. 2025. https://doi.org/10.1109/jstars.2025.3592033,Yufang He; Lifeng Niu; Guangzong Zhang; Jiaye Li; Tong Liu; Jian Liu; Bo Chen,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R140,E47,SUPPORT,"CADENA C, CARLONE L, CARRILLO H, et al. Past, Present, and Future of Simultaneous Localization and Mapping: Toward the Robust-Perception Age[J]. IEEE Transactions on Robotics, 2016, 32(6): 1309-1332. DOI: 10.1109/TRO.2016.2624754.","CADENA C, CARLONE L, CARRILLO H, et al",ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,"Foundational method, standard, metrology guide, or review-reporting source; retained outside the validation-study count."
R141,E119,CORE,"SUN M, ZHAO Z, FENG J, et al. Point-cloud segmentation and volume estimation of dense medium piles based on an improved PointNet++[J]. *International Journal of Coal Preparation and Utilization*, 2026, online first. DOI: 10.1080/19392699.2026.2672626.",Sun M. 2026,ABSTRACT/PREVIEW,ABSTRACT-ONLY,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R142,E439,TRANSFER,Yihui Yang; Volker Schwieger. Supervoxel-based targetless registration and identification of stable areas for deformed point clouds. Journal of Applied Geodesy. 2022. https://doi.org/10.1515/jag-2022-0031,Yihui Yang; Volker Schwieger,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
R143,E389,EXCLUDE,Lei Han; Lan Xu; Dmytro Bobkov; Eckehard Steinbach; Lu Fang. Real-Time Global Registration for Globally Consistent RGB-D SLAM. IEEE Transactions on Robotics. 2019. https://doi.org/10.1109/tro.2018.2882730,Lei Han; Lan Xu; Dmytro Bobkov; Eckehard Steinbach; Lu Fang,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R144,E457,EXCLUDE,Ananya Bal; Ashutosh Gupta; Pranav Goyal; David Merrick; Robin R. Murphy; Howie Choset. Towards Automated Void Detection for Search and Rescue with 3D Perception. [Venue unavailable]. 2023. https://doi.org/10.1109/iros55552.2023.10341454,Ananya Bal; Ashutosh Gupta; Pranav Goyal; David Merrick; Robin R,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R145,E296,EXCLUDE,Bao Zhao; Qiang Liu; Z. Wang; Xiaobo Chen; Zhaohong Jia; Dong Liang. HA-TiNet: Learning a Distinctive and General 3D Local Descriptor for Point Cloud Registration. IEEE Transactions on Visualization and Computer Graphics. 2024. https://doi.org/10.1109/tvcg.2024.3453276,Bao Zhao; Qiang Liu; Z,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R146,E432,EXCLUDE,Jaafar El-Awady; Mostafa Omar; Matthew Shaeffer; Timothy Joseph Nkansah-Mahaney. SPHINX: Scanning Probe for High-resolution INdentation eXperiments. PARADIM Data Collective. 2026. https://doi.org/10.34863/0njd-tk10,Jaafar El-Awady; Mostafa Omar; Matthew Shaeffer; Timothy Joseph Nkansah-Mahaney,ABSTRACT/PREVIEW,EXCLUDE-OTHER,No stockpile-volume endpoint and no indispensable mobile/robotic measurement-chain contribution.
R147,E129,CORE,"WIJAYA D, KARTINI G A J. Accuracy analysis of mining material volume estimation using terrestrial laser scanning and UAV photogrammetry[J]. *Rekayasa Hijau*, 2026, 10(2): 128–142. DOI: 10.26760/jrh.v10i2.128-142.",Wijaya and Kartini 2026,FT,DIRECT-EMPIRICAL,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R148,E110,CORE,"PICCHI D, BRELL-COKCAN S. A multi-view approach for bulk material volume estimation[J]. *Construction Robotics*, 2026, 10: 7. DOI: 10.1007/s41693-026-00179-z.",Picchi 2026,FT,DIRECT-EMPIRICAL,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R149,E216,TRANSFER,Leqi Han; Haruki Ishii; Songyuan Liu; Tomokazu Takahashi; Masato Suzuki; Kazuyo Tsuzuki; Yasushi Mae; Seiji Aoyagi. Autonomous Driving of Mobile Robot Based on LIO and GNSS—Use of LiDAR and IMU Information in Areas with Weak Satellite Signal—. Journal of Robotics and Mechatronics. 2025. https://doi.org/10.20965/jrm.2025.p1145,Leqi Han; Haruki Ishii; Songyuan Liu; Tomokazu Takahashi; Masato Suzuki; Kazuyo Tsuzuki; Yasushi Mae; Seiji Aoyagi,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
R150,E268,EXCLUDE,Zhenhao Xing; Huanrong Qu; Xiayu Zhao. Enhancing Inter-frame Registration Accuracy Based on Adaptive Grid Projection. Academic Journal of Science and Technology. 2025. https://doi.org/10.54097/mp960a82,Zhenhao Xing; Huanrong Qu; Xiayu Zhao,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R151,E232,CORE,"Megan Fotheringham; Dev Raj Paudyal. COMBINING TERRESTRIAL SCANNED DATASETS WITH UAV POINT CLOUDS FOR MINING OPERATIONS. ISPRS annals of the photogrammetry, remote sensing and spatial information sciences. 2021. https://doi.org/10.5194/isprs-annals-v-4-2021-129-2021",Megan Fotheringham; Dev Raj Paudyal,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R152,E349,EXCLUDE,A. Rubaiyat. Multi-Sensor Data Fusion for Robust Environment Reconstruction in Autonomous Vehicle Applications. [Venue unavailable]. 2017. https://doi.org/10.33915/etd.6537,A,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R153,E134,CORE,"MAULANA M H R, KUNCORO H. Evaluasi pendekatan hybrid dalam pengukuran volume stockpile batubara menggunakan UAV, GNSS RTK dan total station[J]. *Serambi Engineering*, 2025, 10(4): 15653–15659.",Maulana and Kuncoro 2025,FT,DIRECT-EMPIRICAL,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R154,E392,CORE,Karel Pavelka; Karel Pavelka; Eva Matoušková; Karel Pavelka; Karel Pavelka. Remarks on Geomatics Measurement Methods Focused on Forestry Inventory. Sensors. 2023. https://doi.org/10.3390/s23177376,Karel Pavelka; Karel Pavelka; Eva Matoušková; Karel Pavelka; Karel Pavelka,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R155,E65,TRANSFER,"PARK S, YOON S, JU S, et al. BIM-based scan planning for scanning with a quadruped walking robot[J]. Automation in Construction, 2023, 152: 104911. DOI: 10.1016/j.autcon.2023.104911.",Source material supplied in the blinded screening form.,NOT-RETRIEVED,NOT-RETRIEVED,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R156,E421,EXCLUDE,Geng Wang; Nhan Le; Xiaohui Hu; Yuxuan Cheng; Steven L. Jacques; Hrebesh M. Subhash; Ruikang K. Wang. Semi-automated registration and segmentation for gingival tissue volume measurement on 3D OCT images. Biomedical Optics Express. 2020. https://doi.org/10.1364/boe.396599,Geng Wang; Nhan Le; Xiaohui Hu; Yuxuan Cheng; Steven L,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R157,E147,CORE,Shi Zhao. 3D real-time stockpile mapping and modelling with accurate quality calculation using voxels. Adelaide Research & Scholarship (AR&S) (University of Adelaide). 2016. https://doi.org/10.4225/55/58af88f74eee7,Shi Zhao,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R158,E429,EXCLUDE,Zhenghua Zhang; Guoliang Chen; Xuan Wang; Han Wu. Sparse and Low-Overlapping Point Cloud Registration Network for Indoor Building Environments. Journal of Computing in Civil Engineering. 2020. https://doi.org/10.1061/(asce)cp.1943-5487.0000959,Zhenghua Zhang; Guoliang Chen; Xuan Wang; Han Wu,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R159,E477,CORE,Hasan Aarzoo; A. Kharb; Shubham V. Jaiswal. Volumetric Estimation of Stockpiles using UAV. [Venue unavailable]. 2020.,Hasan Aarzoo; A,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R160,E248,EXCLUDE,Hyeongseob Shin; Dongha Kwon; Sangkyung Sung. Design and Performance Validation of 4D Radar ICP-Integrated Navigation with Stochastic Cloning Augmentation. Italian National Conference on Sensors. 2026. https://doi.org/10.3390/s26051660,Hyeongseob Shin; Dongha Kwon; Sangkyung Sung,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R161,E130,CORE,"BULDUK M, SALTALI O, CETIN B. Assessment of consumer-grade 3D scanning technologies for aggregate stockpile volume estimation in pavement construction[C]//*Airfield and Highway Pavements 2026*. 2026: 1103–1111. DOI: 10.1061/9780784487037.098.",Bulduk et al. 2026,ABSTRACT/PREVIEW,ABSTRACT-ONLY,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R162,E331,SUPPORT,Lukas Winiwarter; Katharina Anders; Vivien Zahs; Martin Hämmerle; Bernhard Höfle. M3C2-EP: Pushing the limits of 3D topographic point cloud change detection by error propagation [Data and Source Code]. University Library Heidelberg. 2021. https://doi.org/10.11588/data/xhyb10,Lukas Winiwarter; Katharina Anders; Vivien Zahs; Martin Hämmerle; Bernhard Höfle,ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,"Review, data or implementation resource retained outside empirical validation denominators."
R163,E368,EXCLUDE,XiaoSong Wang; YuChen He; XianQi Cai; Wei Li. PCR-DAT: a new point cloud registration method for lidar inertial odometry via distance and Gauss distributed. Intelligent Service Robotics. 2024. https://doi.org/10.1007/s11370-024-00517-6,XiaoSong Wang; YuChen He; XianQi Cai; Wei Li,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R164,E181,EXCLUDE,"K. Pavelka jr.; L. Běloch; K. Pavelka. ANALYSIS OF POSSIBLE GEODETIC APPROACHES FOR 3D MODEL CREATION IN BIM. The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences. 2023. https://doi.org/10.5194/isprs-archives-xlviii-5-w2-2023-77-2023",K,ABSTRACT/PREVIEW,EXCLUDE-OTHER,No stockpile-volume endpoint and no indispensable mobile/robotic measurement-chain contribution.
R165,E209,CORE,Mina Joseph; Haydn Malackowski; Hazem Hanafy; Jidong Liu; Zach DeLoach; Darcy M. Bullock; Ayman Habib. Automated extrinsic calibration of solid-state frame LiDAR sensors with non-overlapping field of view for monitoring indoor stockpile storage facilities. ISPRS Open Journal of Photogrammetry and Remote Sensing. 2024. https://doi.org/10.1016/j.ophoto.2024.100073,Mina Joseph; Haydn Malackowski; Hazem Hanafy; Jidong Liu; Zach DeLoach; Darcy M,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R166,E414,TRANSFER,Marie-Aurélie Chanut; Amina Tahir; Yohan Peru; Laure Manceau; Pierre Azemard; Yannick Fargier. Rockfall monitoring with three terrestrial and two mobile laser scanners: a comparison of detection levels. Bulletin of Engineering Geology and the Environment. 2026. https://doi.org/10.1007/s10064-026-05009-8,Marie-Aurélie Chanut; Amina Tahir; Yohan Peru; Laure Manceau; Pierre Azemard; Yannick Fargier,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
R167,E135,TRANSFER,"LI J, LIU Z, XU X, et al. LiMo-Calib: On-site fast LiDAR-motor calibration for quadruped robot-based panoramic 3D sensing system[Preprint]. arXiv:2502.12655, 2025.",Source material supplied in the blinded screening form.,FT,TRANSFER-METHOD,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R168,E235,TRANSFER,"Theodore B. Barnhart; B. T. Crosby. Comparing Two Methods of Surface Change Detection on an Evolving Thermokarst Using High-Temporal-Frequency Terrestrial Laser Scanning, Selawik River, Alaska. Remote Sensing. 2013. https://doi.org/10.3390/rs5062813",Theodore B,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
R169,E207,EXCLUDE,M. Kowalska; J. Zaczek-Peplińska; S. Łapiński; Łukasz Piasta. Automated Building Monitoring System Based on Reflectorless Measurements: A Case Study of the IMSGeo System. Italian National Conference on Sensors. 2025. https://doi.org/10.3390/s25175327,M,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R170,E226,CORE,Brian Huberty; C. Anderson. Coal pile inventory using 35-mm oblique terrestrial photogrammetry. [Venue unavailable]. 1990.,Brian Huberty; C,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R171,E288,EXCLUDE,Haruki Hagiwara; Evan Miles; Achille Jouberton; Jose Muñoz Hermosilla; Shaoting Ren; Thomas E. Shaw; Joel Fiddes; Amaury Dehecq; Romain Hugonnet; Francesca Pellicciotti. Glacier mass changes in the Western Pamirs during 2003-2025 from high-resolution stereo satellite images. [Venue unavailable]. 2026. https://doi.org/10.5194/egusphere-egu26-17768,Haruki Hagiwara; Evan Miles; Achille Jouberton; Jose Muñoz Hermosilla; Shaoting Ren; Thomas E,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R172,E440,TRANSFER,Yongqiang Wang; Weigang Li; Lyuchao Liao; Wenping Liu; Zhe Xu. SURE: Semantic- and uncertainty-aware registration network for robust outdoor LiDAR alignment. Information Sciences. 2026. https://doi.org/10.1016/j.ins.2026.123786,Yongqiang Wang; Weigang Li; Lyuchao Liao; Wenping Liu; Zhe Xu,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
R173,E380,EXCLUDE,Juan Zhu; Zongwei Huang; Xiaofeng Yue; Zeyuan Liu. Point Cloud Registration Based on Local Variation of Surface Keypoints. Electronics. 2023. https://doi.org/10.3390/electronics13010035,Juan Zhu; Zongwei Huang; Xiaofeng Yue; Zeyuan Liu,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R174,E255,CORE,K. Naskou; N. Kordalis; I. Karagiannis. Development and demonstration of EO-based monitoring of stockpile volumes and extraction rates (alpha version). Zenodo (CERN European Organization for Nuclear Research). 2025. https://doi.org/10.5281/zenodo.17791213,K,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R175,E219,TRANSFER,Zhiqiang Chen; Cedric Le Gentil; Fuling Lin; Minghao Lu; Qiyuan Qiao; Bowen Xu; Yuhua Qi; Peng Lu. Breaking the Static Assumption: A Dynamic-Aware LIO Framework via Spatio-Temporal Normal Analysis. IEEE Robotics and Automation Letters. 2025. https://doi.org/10.1109/lra.2025.3623436,Zhiqiang Chen; Cedric Le Gentil; Fuling Lin; Minghao Lu; Qiyuan Qiao; Bowen Xu; Yuhua Qi; Peng Lu,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
